,desc,docurl,filedate,path,ticker,filename
2761,0000201533-96-000043,/Archives/edgar/data/811156/0000201533-96-000043-index.html,3/14/1996,https://www.sec.gov/Archives/edgar/data/811156/000020153396000043/0000201533-96-000043.txt,CMS,CMS_1996-03-14_0000201533-96-000043.txt
2762,0000201533-95-000029,/Archives/edgar/data/811156/0000201533-95-000029-index.html,3/15/1995,https://www.sec.gov/Archives/edgar/data/811156/000020153395000029/0000201533-95-000029.txt,CMS,CMS_1995-03-15_0000201533-95-000029.txt
2763,0000201533-94-000020,/Archives/edgar/data/811156/0000201533-94-000020-index.html,3/18/1994,https://www.sec.gov/Archives/edgar/data/811156/000020153394000020/0000201533-94-000020.txt,CMS,CMS_1994-03-18_0000201533-94-000020.txt
2764,0000021344-18-000008,/Archives/edgar/data/21344/000002134418000008/0000021344-18-000008-index.htm,2/23/2018,https://www.sec.gov/Archives/edgar/data/21344/000002134418000008/0000021344-18-000008.txt,KO,KO_2018-02-23_0000021344-18-000008.txt
2765,0000021344-17-000009,/Archives/edgar/data/21344/000002134417000009/0000021344-17-000009-index.htm,2/24/2017,https://www.sec.gov/Archives/edgar/data/21344/000002134417000009/0000021344-17-000009.txt,KO,KO_2017-02-24_0000021344-17-000009.txt
2766,0000021344-16-000050,/Archives/edgar/data/21344/000002134416000050/0000021344-16-000050-index.htm,2/25/2016,https://www.sec.gov/Archives/edgar/data/21344/000002134416000050/0000021344-16-000050.txt,KO,KO_2016-02-25_0000021344-16-000050.txt
2767,0000021344-15-000005,/Archives/edgar/data/21344/000002134415000005/0000021344-15-000005-index.htm,2/25/2015,https://www.sec.gov/Archives/edgar/data/21344/000002134415000005/0000021344-15-000005.txt,KO,KO_2015-02-25_0000021344-15-000005.txt
2768,0000021344-14-000008,/Archives/edgar/data/21344/000002134414000008/0000021344-14-000008-index.htm,2/27/2014,https://www.sec.gov/Archives/edgar/data/21344/000002134414000008/0000021344-14-000008.txt,KO,KO_2014-02-27_0000021344-14-000008.txt
2769,0000021344-13-000007,/Archives/edgar/data/21344/000002134413000007/0000021344-13-000007-index.htm,2/27/2013,https://www.sec.gov/Archives/edgar/data/21344/000002134413000007/0000021344-13-000007.txt,KO,KO_2013-02-27_0000021344-13-000007.txt
2770,0000021344-12-000007,/Archives/edgar/data/21344/000002134412000007/0000021344-12-000007-index.htm,2/23/2012,https://www.sec.gov/Archives/edgar/data/21344/000002134412000007/0000021344-12-000007.txt,KO,KO_2012-02-23_0000021344-12-000007.txt
2771,0001047469-11-001506,/Archives/edgar/data/21344/000104746911001506/0001047469-11-001506-index.htm,2/28/2011,https://www.sec.gov/Archives/edgar/data/21344/000104746911001506/0001047469-11-001506.txt,KO,KO_2011-02-28_0001047469-11-001506.txt
2772,0001047469-10-001476,/Archives/edgar/data/21344/000104746910001476/0001047469-10-001476-index.htm,2/26/2010,https://www.sec.gov/Archives/edgar/data/21344/000104746910001476/0001047469-10-001476.txt,KO,KO_2010-02-26_0001047469-10-001476.txt
2773,0001047469-09-001875,/Archives/edgar/data/21344/000104746909001875/0001047469-09-001875-index.htm,2/26/2009,https://www.sec.gov/Archives/edgar/data/21344/000104746909001875/0001047469-09-001875.txt,KO,KO_2009-02-26_0001047469-09-001875.txt
2774,0001193125-08-041768,/Archives/edgar/data/21344/000119312508041768/0001193125-08-041768-index.htm,2/28/2008,https://www.sec.gov/Archives/edgar/data/21344/000119312508041768/0001193125-08-041768.txt,KO,KO_2008-02-28_0001193125-08-041768.txt
2775,0001047469-07-001328,/Archives/edgar/data/21344/000104746907001328/0001047469-07-001328-index.htm,2/21/2007,https://www.sec.gov/Archives/edgar/data/21344/000104746907001328/0001047469-07-001328.txt,KO,KO_2007-02-21_0001047469-07-001328.txt
2776,0001047469-06-002588,/Archives/edgar/data/21344/000104746906002588/0001047469-06-002588-index.htm,2/28/2006,https://www.sec.gov/Archives/edgar/data/21344/000104746906002588/0001047469-06-002588.txt,KO,KO_2006-02-28_0001047469-06-002588.txt
2777,0001047469-05-005411,/Archives/edgar/data/21344/000104746905005411/0001047469-05-005411-index.htm,3/4/2005,https://www.sec.gov/Archives/edgar/data/21344/000104746905005411/0001047469-05-005411.txt,KO,KO_2005-03-04_0001047469-05-005411.txt
